20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'601225,陕西煤业,20231227,持仓,20.6,20.55,-0.24%
'601225,陕西煤业,20231129,20231226,19.25,20.59,6.96%
'601225,陕西煤业,20231101,20231128,18.06,19.26,6.64%
'601633,长城汽车,20230926,20231031,25.8,29.38,13.88%
'601225,陕西煤业,20230829,20230925,16.97,18.76,10.55%
'601225,陕西煤业,20230801,20230828,16.23,16.98,4.62%
'601633,长城汽车,20230704,20230731,25.9,29.56,14.13%
'002466,天齐锂业,20230531,20230629,73.1,71.31,-2.45%
'601225,陕西煤业,20230428,20230530,19.24,17.36,-9.77%
'601225,陕西煤业,20230330,20230427,19.26,19.25,-0.05%
'601225,陕西煤业,20230302,20230329,19.92,19.15,-3.87%
'601225,陕西煤业,20230202,20230301,19.44,20.02,2.98%
'002415,海康威视,20221228,20230201,34.54,36.25,4.95%
'002415,海康威视,20221130,20221227,31.59,34.51,9.24%
'002415,海康威视,20221102,20221129,28.58,31.64,10.71%
'601225,陕西煤业,20221013,20221101,22.27,19.6,-11.99%
'603288,海天味业,20220913,20221012,80.44,70.79,-12.00%
'601225,陕西煤业,20220815,20220909,20.95,25.03,19.47%
'601225,陕西煤业,20220718,20220812,19.53,20.91,7.07%
'603288,海天味业,20220620,20220715,83.58,83.49,-0.11%
'601225,陕西煤业,20220520,20220617,17.18,20.73,20.66%
'601225,陕西煤业,20220419,20220519,17.1,17.19,0.53%
'601225,陕西煤业,20220317,20220415,13.9,17.55,26.26%
'601225,陕西煤业,20220217,20220316,13.82,13.81,-0.07%
'601225,陕西煤业,20220113,20220216,12.45,13.89,11.57%
'601225,陕西煤业,20211215,20220112,12.58,12.45,-1.03%
'002475,立讯精密,20211117,20211214,42.7,46.35,8.55%
'002475,立讯精密,20211020,20211116,37.39,42.88,14.68%
'002475,立讯精密,20210913,20211019,36.0,36.99,2.75%
'601225,陕西煤业,20210813,20210909,11.26,15.71,39.52%
'601225,陕西煤业,20210716,20210812,11.14,11.33,1.71%
'601225,陕西煤业,20210618,20210715,11.15,11.14,-0.09%
'601225,陕西煤业,20210520,20210617,11.45,11.98,4.63%
'601225,陕西煤业,20210419,20210519,11.4,11.78,3.33%
'601225,陕西煤业,20210319,20210416,11.4,11.35,-0.44%
'601225,陕西煤业,20210219,20210318,11.6,11.62,0.17%
'601225,陕西煤业,20210115,20210218,10.2,11.33,11.08%
'002415,海康威视,20201217,20210114,45.74,57.24,25.14%
'603288,海天味业,20201119,20201216,161.03,199.71,24.02%
'002415,海康威视,20201022,20201118,39.12,45.85,17.20%
'002415,海康威视,20200916,20201021,37.6,39.26,4.41%
'002415,海康威视,20200819,20200915,38.98,37.64,-3.44%
'002415,海康威视,20200722,20200818,35.68,39.07,9.50%
'002415,海康威视,20200622,20200721,30.18,34.69,14.94%
'002475,立讯精密,20200525,20200619,34.05,45.6,33.92%
'002475,立讯精密,20200422,20200522,41.03,44.55,8.58%
'603288,海天味业,20200324,20200421,102.38,124.99,22.08%
'002475,立讯精密,20200310,20200317,42.13,37.07,-12.01%
'002475,立讯精密,20200303,20200309,50.05,44.04,-12.01%
'002475,立讯精密,20200204,20200302,41.58,48.59,16.86%
'002475,立讯精密,20191226,20200123,35.29,45.15,27.94%
'603288,海天味业,20191128,20191225,110.16,105.99,-3.79%
'603288,海天味业,20191031,20191127,110.89,109.72,-1.06%
'002475,立讯精密,20190926,20191030,26.74,33.85,26.59%
'603288,海天味业,20190828,20190925,107.8,110.9,2.88%
'603288,海天味业,20190731,20190827,100.06,107.79,7.73%
'002415,海康威视,20190703,20190730,29.05,30.42,4.72%
'603288,海天味业,20190604,20190702,102.91,107.57,4.53%
'603288,海天味业,20190507,20190603,86.63,102.91,18.79%
'603288,海天味业,20190403,20190506,85.14,88.5,3.95%
'603288,海天味业,20190306,20190402,77.9,85.15,9.31%
'603288,海天味业,20190130,20190305,72.59,78.0,7.45%
'603288,海天味业,20190102,20190129,68.19,72.59,6.45%
